Designator,Mid X,Mid Y,Layer,Rotation
C1, 5.20, 6.00,Top,90.0
C2, 6.70, 6.00,Top,90.0
C3, 8.20, 6.00,Top,90.0
C6, 3.20, 3.39,Top,180.0
C7,10.80, 3.39,Top,180.0
U1,10.54, 5.40,Top,180.0
U2, 2.95, 5.40,Top,180.0
IC1, 7.00, 6.50,Bottom,270.0
R1, 9.90, 8.60,Bottom,180.0
C4, 1.60, 7.90,Bottom,180.0
C5,12.42, 8.30,Bottom,180.0
