Comment,Designator,Footprint,LCSC Part #
1n,C1,0402-CAP,
3V6,D1,SOD-323,
10K,R1 R2 R3,0402-RES,
10n,C3 C4,0402-CAP,
10uF 25V,C11,0805,
15u,L1,0805,
X1G0054410320,Y1,OSC_TG2016SMN_50.0000M-ECGNNMB,
100n,C5 C6 C7 C8 C9 C10,0402-CAP,
470n,C2 C13 C17,0402-CAP,
2450FM07D0034T,FL1,FIL_2450FM07D0034T,
74889302450,ANT1 ANT2,ANTENNA-CHIP2,
ESP32-PICO-D4,U1,PQFN50P700X700X104-49N,
SK6812-EC20,LED1,SK6812-EC20,
SX1280IMLTRT,U2,QFN24_4X4_SEM,
